prover,job_name,job_size,proof_duration_microsec,verify_duration_microsec,proof_bytes
miden,iter_blake3,1,407645,3045,67186
miden,iter_blake3,10,1076436,6650,83671
miden,iter_blake3,100,3730267,2744,99498
miden,iter_sha2,1,391088,2456,72356
miden,iter_sha2,10,1390372,2602,89776
miden,iter_sha2,100,7836610,12169,108689
miden,iter_rescue_prime,1,167858,2423,53203
miden,iter_rescue_prime,10,111374,4040,53284
miden,iter_rescue_prime,100,117399,2245,57529
miden,iter_rescue_prime,1000,711132,2438,72742
risczero,big_sha2,1024,423383,2104,177684
risczero,big_sha2,2048,427643,2059,177684
risczero,big_sha2,4096,593803,2176,187796
risczero,big_sha2,8192,573723,2174,187796
risczero,iter_sha2,1,309480,2059,177684
risczero,iter_sha2,10,662359,2201,187796
risczero,iter_sha2,100,2187463,2950,210068
